[2023-03-03T19:29:08.036+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C06_G18_s20230010031170_e20230010033549_c20230010034003.nc
[2023-03-03T19:29:08.036+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C06_G18_s20230010036170_e20230010038549_c20230010039004.nc
[2023-03-03T19:29:08.037+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C06_G18_s20230010041170_e20230010043549_c20230010043591.nc
[2023-03-03T19:29:08.037+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C06_G18_s20230010046170_e20230010048549_c20230010049039.nc
[2023-03-03T19:29:08.038+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C06_G18_s20230010051170_e20230010053550_c20230010053580.nc
[2023-03-03T19:29:08.038+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C06_G18_s20230010056170_e20230010058551_c20230010058594.nc
[2023-03-03T19:29:08.038+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C07_G18_s20230010001170_e20230010003556_c20230010003594.nc
[2023-03-03T19:29:08.039+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C07_G18_s20230010006170_e20230010008556_c20230010008591.nc
[2023-03-03T19:29:08.039+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C07_G18_s20230010011170_e20230010013555_c20230010013592.nc
[2023-03-03T19:29:08.040+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C07_G18_s20230010016170_e20230010018555_c20230010019005.nc
[2023-03-03T19:29:08.040+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C07_G18_s20230010021170_e20230010023555_c20230010024037.nc
[2023-03-03T19:29:08.040+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C07_G18_s20230010026170_e20230010028556_c20230010028591.nc
[2023-03-03T19:29:08.041+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C07_G18_s20230010031170_e20230010033555_c20230010034027.nc
[2023-03-03T19:29:08.041+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C07_G18_s20230010036170_e20230010038555_c20230010039019.nc
[2023-03-03T19:29:08.042+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C07_G18_s20230010041170_e20230010043557_c20230010044002.nc
[2023-03-03T19:29:08.042+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C07_G18_s20230010046170_e20230010048556_c20230010049013.nc
[2023-03-03T19:29:08.042+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C07_G18_s20230010051170_e20230010053555_c20230010054003.nc
[2023-03-03T19:29:08.043+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C07_G18_s20230010056170_e20230010058557_c20230010058597.nc
[2023-03-03T19:29:08.043+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C08_G18_s20230010001170_e20230010003543_c20230010004004.nc
[2023-03-03T19:29:08.043+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C08_G18_s20230010006170_e20230010008543_c20230010009038.nc
[2023-03-03T19:29:08.044+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C08_G18_s20230010011170_e20230010013543_c20230010014033.nc
[2023-03-03T19:29:08.044+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C08_G18_s20230010016170_e20230010018543_c20230010019010.nc
[2023-03-03T19:29:08.044+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C08_G18_s20230010021170_e20230010023543_c20230010024005.nc
[2023-03-03T19:29:08.045+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C08_G18_s20230010026170_e20230010028543_c20230010029026.nc
